text,label,intent_name
When are you going to activate my card?,0,activate_my_card
Someone might have access to my card!  There are some strange payments showing up on my account.  What do I do?,16,card_payment_not_recognised
What I topped up was reverted by the app.,61,top_up_reverted
This is the first time I've tried to get my money out of an ATM and it didn't work. Please give me my money,26,declined_cash_withdrawal
What information do I need to gather in order to activate my card?,0,activate_my_card
What does it mean if my cash withdrawal does not show up properly?,46,pending_cash_withdrawal
my cash balance less than what I thought,75,wrong_amount_of_cash_received
Is it really necessary to verify my Identity?,74,why_verify_identity
I entered a wrong PIN too many times. How can I fix this?,49,pin_blocked
I don't see a code anywhere on my top-up card? Where can I find it? I need to verify!,71,verify_top_up
I have an unknown charge.,28,direct_debit_payment_not_recognised
What is the delivery time to the US?,12,card_delivery_estimate
Why isn't the recipient seeing the transaction? I just sent the money.,66,transfer_not_received_by_recipient
Why do you have the identity check,74,why_verify_identity
How long will it take for my money to be deposited?,47,pending_top_up
What options do I have when topping up a US card?,57,top_up_by_card_charge
I have a transfer that is pending.,48,pending_transfer
How long will it take my card to get here?,12,card_delivery_estimate
I think I deserve a refunded on a certain item.,52,request_refund
How do I go forth on holding money in multiple currencies?,36,fiat_currency_support
I have a direct debit I didn't make,28,direct_debit_payment_not_recognised
I would like to order a virtual card.,40,getting_virtual_card
Where do I pay with my card?,10,card_acceptance
The exchange rate for case abroad is applied wrong.,76,wrong_exchange_rate_for_cash_withdrawal
Do you charge for sending more cards?,39,getting_spare_card
"I desperately need to transfer something from China, Please give me the wait time.",67,transfer_timing
Can I use my apple watch to top up?,2,apple_pay_or_google_pay
"I just went through a old statement and noticed that a very large payment went through and i did not make it. It was from a few months ago, can I still dispute the payment?",28,direct_debit_payment_not_recognised
I do not see the money I transferred into this account,5,balance_not_updated_after_bank_transfer
the exchange rate is wrong from something I got in another country,17,card_payment_wrong_exchange_rate
My money transaction can't be seen by the person I sent it to,66,transfer_not_received_by_recipient
The transfer that I was trying to complete was declined. What was the cause?,27,declined_transfer
What is this withdrawal as I do not remember making it.,20,cash_withdrawal_not_recognised
Why is my 'top up' not showing up in my wallet?,62,topping_up_by_card
I didn't cancel my card payment.,53,reverted_card_payment?
I have a new phone number and need to edit my contact information.,30,edit_personal_details
"I'm waiting for the ID verification to go through still, so is it too soon to use my account?",74,why_verify_identity
The ATM I used for foreign currency provided the wrong exchange rate.,76,wrong_exchange_rate_for_cash_withdrawal
I sent payment with EU transfer and they still haven't received it. How long does it take?,48,pending_transfer
What can I expect at card expiration?,9,card_about_to_expire
what are the reasons why you would not be able to process a payment,7,beneficiary_not_allowed
I checked my account today and saw that I was charged an extra pound that I did not spend.,34,extra_charge_on_statement
The payment for the card did not go through,25,declined_card_payment
Do the disposable cards have restrictions?,29,disposable_card_limits
"I would like to close my account, as I'm not happy.",55,terminate_account
Should I be seeing a fee applied for my money transfer?,64,transfer_fee_charged
Why was I charged for withdrawing cash?,19,cash_withdrawal_charge
"My PIN seems to be blocked, help me access it?",49,pin_blocked
What ATMs can I use my card at?,3,atm_support
I have kids and I'm curious at what age could they start to use your service.,1,age_limit
"I completed a transfer within the UK two days ago, but it is still not showing received.  I have verified the account number is correct already.  Is there anything else I need to do or is there a problem?",66,transfer_not_received_by_recipient
I tried to top-up but it got denied.,59,top_up_failed
the exchange rate was different than expected,76,wrong_exchange_rate_for_cash_withdrawal
How much is it to use my US debit or credit card to top up?,57,top_up_by_card_charge
My payment card was declined - could you tell me why?,25,declined_card_payment
The app is telling me that I am not me.,68,unable_to_verify_identity
i cannot get virtual card to work,72,virtual_card_not_working
Why was I declined when I tried to get my money?,26,declined_cash_withdrawal
What do I do if I can't get my card out of the ATM?,18,card_swallowed
I need to transfer some money to a friend who is in urgent need of some fast cash. How long will it take before she can use that money?,66,transfer_not_received_by_recipient
How do I use a cheque to top up?,58,top_up_by_cash_or_cheque
"help, I see money missing I didn't take out.",20,cash_withdrawal_not_recognised
There's a payment in the app that I didn't authorize.,16,card_payment_not_recognised
I am very dissatisfied with the services that you are providing.  I want to cancel my account.,55,terminate_account
I NEED HELP WITH MY CARD!!!!! please. It keeps getting declined when I try to use it. I have tried a few times to use it and it keeps getting rejected. I have no idea why.,25,declined_card_payment
I attemped a transfer and it didn't go through.,35,failed_transfer
I was charged and shouldn't have been charged when using my card!,15,card_payment_fee_charged
Why can't I transfer money to a beneficiary,7,beneficiary_not_allowed
My card hasn't arrived yet. What do I do?,11,card_arrival
I've deposited a check in my account but the cash isn't showing as available.,6,balance_not_updated_after_cheque_or_cash_deposit
How long does it take for money to reach my account?,5,balance_not_updated_after_bank_transfer
"I have made a payment by my card, and its still pending since a long time. Could you please tell me when it will process.",45,pending_card_payment
Where do I access the auto top-up function?,4,automatic_top_up
"I bought something while traveling, and the exchange rate was wrong.",17,card_payment_wrong_exchange_rate
How much money can I withdraw before fees? I noticed a fee on my card but I didn't think I had hit the limit of how much I could withdraw in a month.,19,cash_withdrawal_charge
How do I get unblocked?,49,pin_blocked
In what way can I change my PIN and where do I need to be?,21,change_pin
Are there specific ATM's that I can draw money from?,3,atm_support
"I need to transfer money into my account, and I don't know how to do that.",65,transfer_into_account
how is it possible to add another card to account,39,getting_spare_card
what is the price of a transfer?,56,top_up_by_bank_transfer_charge
When will my top up be approved?,47,pending_top_up
What is the process to create a disposable virtual card?,37,get_disposable_virtual_card
What is wrong with my top-up?,47,pending_top_up
Can the exchange rate change while I am in the process of making a withdrawal?,76,wrong_exchange_rate_for_cash_withdrawal
